time,rank,id,title
00:00,1,com.scopely.monopolygo,"MONOPOLY GO!"
00:00,2,com.roblox.client,"Roblox"
00:00,3,com.king.candycrushsaga,"Candy Crush Saga"
00:00,4,com.dreamgames.royalmatch,"Royal Match"
00:00,5,com.mergegames.gossipharbor,"Gossip Harbor: Merge & Story"
00:00,6,com.nianticlabs.pokemongo,"Pokémon GO"
00:00,7,com.run.tower.defense,"Kingshot"
00:00,8,com.gof.global,"Whiteout Survival"
00:00,9,com.fun.lastwar.gp,"Last War:Survival Game"
00:00,10,com.playrix.township,"Township"
00:00,11,com.dreamgames.royalkingdom,"Royal Kingdom"
00:00,12,com.moonactive.coinmaster,"Coin Master"
00:00,13,net.peakgames.toonblast,"Toon Blast"
00:00,14,com.readygo.barrel.gp,"Last Z: Survival Shooter"
00:00,15,com.totalbattle,"Total Battle: War Strategy"
00:00,16,com.topgamesinc.evony,"Evony: The King's Return"
00:00,17,com.zjcs.android.us,"Sword x Staff"
00:00,18,com.tencent.ig,"PUBG MOBILE"
00:00,19,com.williamsinteractive.jackpotparty,"Jackpot Party Casino Slots"
00:00,20,com.playrix.gardenscapes,"Gardenscapes"
00:00,21,com.dts.freefireth,"Free Fire: 9th Anniversary"
00:00,22,com.king.candycrushsodasaga,"Candy Crush Soda Saga"
00:00,23,com.playrix.fishdomdd.gplay,"Fishdom"
00:00,24,net.peakgames.match,"Match Factory!"
00:00,25,com.productmadness.cashmancasino,"Cashman Casino Slots Games"
00:00,26,com.superplaystudios.disneysolitairedreams,"Disney Solitaire"
00:00,27,com.productmadness.lightninglink,"Lightning Link Casino Slots"
00:00,28,com.fatmerge.global,"Tasty Travels: Merge Game"
00:00,29,com.HoYoverse.hkrpgoversea,"Honkai: Star Rail"
00:00,30,air.com.buffalo_studios.newflashbingo,"Bingo Blitz™️ - Bingo Games"
00:00,31,com.superplaystudios.dicedreams,"Dice Dreams™️"
00:00,32,com.activision.callofduty.shooter,"Call of Duty®: Mobile"
00:00,33,com.cygames.umamusume,"Umamusume: Pretty Derby"
00:00,34,com.loomgames.pixelflow,"Pixel Flow!"
00:00,35,com.phs.global,"Last Asylum: Plague"
00:00,36,com.playrix.homescapes,"Homescapes"
00:00,37,com.HoYoverse.Nap,"Zenless Zone Zero - Anniv."
00:00,38,com.aniplex.fategrandorder.en,"Fate/Grand Order (English)"
00:00,39,com.combo.yarnflow,"Yarn Loop"
00:00,40,com.diamondlife.slots.vegas.free,"Lotsa Slots - Casino Games"
00:00,41,com.readygo.dark.gp,"Dark War Survival"
00:00,42,com.homagames.studio.allinhole,"All in Hole: Black Hole Games"
00:00,43,game.qualiarts.hololive.dreams.com,"hololive Dreams"
00:00,44,slots.pcg.casino.games.free.android,"Cash Frenzy™ - Casino Slots"
00:00,45,com.proximabeta.nikke,"GODDESS OF VICTORY: NIKKE"
